sha256,file_size_bytes,copy_count,reclaimable_bytes,families,paths
7839a0497db092ff17b45226f982bd6c6900fa6c5d73025d824214eb454fc015,75668,2,75668,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/wobbuffet/main-m.webp|assets/textures/textures_webapp/pokemon/wobbuffet/main.webp
a2e51200f3bff4598320020c936508ff5a724fd9ffef6b6b02d9b380063574b8,74540,2,74540,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/unfezant/main-m-shiny.webp|assets/textures/textures_webapp/pokemon/unfezant/main-shiny.webp
4ebe231a415d6c298e9569e37a02559483c35a44d152d7573007e3aeaa0e874e,74036,2,74036,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/pikachu/main-m.webp|assets/textures/textures_webapp/pokemon/pikachu/main.webp
a0ed99ecc9aa869e721d920e456be22ed06ab321c47673854ab7a4f6cce625cb,73190,2,73190,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/unfezant/main-m.webp|assets/textures/textures_webapp/pokemon/unfezant/main.webp
174c8be6e9dd1be9a51202d8cf1859b7c297b6256ea24a13248db63925159f30,71072,2,71072,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/minior-core-green/main.webp|assets/textures/textures_webapp/pokemon/minior-core/main-green.webp
b7ea03e58c91b4a0e70f8bbdba662bf40ad42c4736ecdef19ad61be656a485ef,69142,2,69142,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/minior-core-orange/main.webp|assets/textures/textures_webapp/pokemon/minior-core/main-orange.webp
f539b1f9fbc4e6c9bb24ae8017f482e69af5882086d37781700be16adfa68bcc,68904,2,68904,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/minior-core-violet/main.webp|assets/textures/textures_webapp/pokemon/minior-core/main-violet.webp
c77af629dacfcd8e3b7a3573ad4a6794133be5f60a11014e81c68bc038c45835,68700,2,68700,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/minior-core-indigo/main.webp|assets/textures/textures_webapp/pokemon/minior-core/main-indigo.webp
4de2a2c491901341c5e3a609daa9c490ce808c902953754f3364f74eebfe6caf,66730,2,66730,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/minior-core-yellow/main.webp|assets/textures/textures_webapp/pokemon/minior-core/main-yellow.webp
02250f45ee4f74fe0769121ea035fd1990ba19f183df33416a3d78d3cc620d7b,66480,2,66480,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/wobbuffet/main-m-shiny.webp|assets/textures/textures_webapp/pokemon/wobbuffet/main-shiny.webp
96a637371e6a3da9f9aff2aff49728f411b2e062eacfa3e1e3235b5c6a91a611,65866,2,65866,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/minior-meteor-form/main-shiny.webp|assets/textures/textures_webapp/pokemon/minior/main-shiny.webp
7040dfd2c94ccc1593b7c74184936a5d64d44b143a83798cfd432103d372bba0,61116,2,61116,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/darmanitan-galar-standard/main.webp|assets/textures/textures_webapp/pokemon/galarian-darmanitan/main.webp
142a0abe6c933bb293ee4cafa09cfbb108475a392424e8d150961d4ac2408122,59518,2,59518,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/raichu/main-m-shiny.webp|assets/textures/textures_webapp/pokemon/raichu/main-shiny.webp
7cb9be5e8ccebcfcbf4d9643386440720a99540338384833d79fbb9f1df34b66,57854,2,57854,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/raichu/main-m.webp|assets/textures/textures_webapp/pokemon/raichu/main.webp
f543818d05a4951bb0bc13a381de3e8ca82420244156cccc9799d46f6e53687d,26519,2,26519,assets/textures/pokemons,assets/textures/pokemons/029Nidoran.png|assets/textures/pokemons/29Nidoran-f.png
b1ed1a6a53895c72f908e31699f83e73efdeda0608e9e47277a0040f655fd3a1,26349,2,26349,assets/textures/pokemons,assets/textures/pokemons/032Nidoran.png|assets/textures/pokemons/32Nidoran-m.png
b5e6335b56aae71a159deaa89d9677a1ffd3e1ae4b1e01ef962a467a39166525,1332,16,19980,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/minior-core-blue/sprite-shiny.png|assets/textures/textures_webapp/pokemon/minior-core-green/sprite-shiny.png|assets/textures/textures_webapp/pokemon/minior-core-indigo/sprite-shiny.png|assets/textures/textures_webapp/pokemon/minior-core-orange/sprite-shiny.png|assets/textures/textures_webapp/pokemon/minior-core-red/sprite-shiny.png|assets/textures/textures_webapp/pokemon/minior-core-violet/sprite-shiny.png|assets/textures/textures_webapp/pokemon/minior-core-yellow/sprite-shiny.png|assets/textures/textures_webapp/pokemon/minior-core/sprite-blue-shiny.png|assets/textures/textures_webapp/pokemon/minior-core/sprite-green-shiny.png|assets/textures/textures_webapp/pokemon/minior-core/sprite-indigo-shiny.png|assets/textures/textures_webapp/pokemon/minior-core/sprite-orange-shiny.png|assets/textures/textures_webapp/pokemon/minior-core/sprite-red-shiny.png|assets/textures/textures_webapp/pokemon/minior-core/sprite-shiny.png|assets/textures/textures_webapp/pokemon/minior-core/sprite-violet-shiny.png|assets/textures/textures_webapp/pokemon/minior-core/sprite-yellow-shiny.png|assets/textures/textures_webapp/pokemon/minior-meteor-form/sprite-shiny.png
c5595f360c3a2be1c8cad92dbc8e2f42910fc67789586d100e82d49170229079,1611,2,1611,assets/textures/gui,assets/textures/gui/background_gradient.png|assets/textures/gui/transparent.png
be188053554fdbcff60d64c8c8e1c258cf156b6d5df31ff267d5ae6d47c34ba3,1098,2,1098,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/hippowdon/sprite-m-shiny.png|assets/textures/textures_webapp/pokemon/hippowdon/sprite-shiny.png
d8d3f6c316ca38bd7eec489d493773ff7517bd3decb0640c7ce3f66a1694accf,1098,2,1098,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/hippowdon/sprite-m.png|assets/textures/textures_webapp/pokemon/hippowdon/sprite.png
4b6b79084b89c0603aa90ad9ffe71d39bfa892413add2ae35da30154e949e591,997,2,997,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/unfezant/sprite-m-shiny.png|assets/textures/textures_webapp/pokemon/unfezant/sprite-shiny.png
3c2e3ce67bfffa1ff8c64991adfefc864e0162b43c126f26fe2735b57865e369,995,2,995,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/unfezant/sprite-m.png|assets/textures/textures_webapp/pokemon/unfezant/sprite.png
cc651df0697f9d94a86dd2704b00a46c17bf86b5f8770f71303d63a01674620b,488,3,976,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/minior-meteor-form/sprite.png|assets/textures/textures_webapp/pokemon/minior/sprite-shiny.png|assets/textures/textures_webapp/pokemon/minior/sprite.png
95fadcfe8222d6b3218cfccd431d3da14cd65ad76be6d34a84f9457d5b237e44,938,2,938,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/raichu/sprite-m.png|assets/textures/textures_webapp/pokemon/raichu/sprite.png
82ee54a184a76a4e069f3bb4fbe7fb5c7c86a0a8a5d7e40c4805d9a9d0e9793c,937,2,937,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/raichu/sprite-m-shiny.png|assets/textures/textures_webapp/pokemon/raichu/sprite-shiny.png
8a6ad91fc97602a196c711e3cf46784751dc7f3152985f3485000ff25b8c1ebb,839,2,839,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/darmanitan-galar-standard/sprite-shiny.png|assets/textures/textures_webapp/pokemon/galarian-darmanitan/sprite-shiny.png
e5807b521c0c3e2ccf696d0ab1d067f9fdd87e882f018ea8c76698de0509fe6f,838,2,838,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/darmanitan-galar-standard/sprite.png|assets/textures/textures_webapp/pokemon/galarian-darmanitan/sprite.png
67d2116e94943ca0a97df4423a4b038f1887b0c66b19b67c93cd7f33eccdc0af,403,3,806,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/minior-core-red/sprite.png|assets/textures/textures_webapp/pokemon/minior-core/sprite-red.png|assets/textures/textures_webapp/pokemon/minior-core/sprite.png
9c0b91298c5625cdfbc6cdf363ebc392c2c6e0163b2cfd5a1f10ae571f9a0f05,666,2,666,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/hippopotas/sprite-m.png|assets/textures/textures_webapp/pokemon/hippopotas/sprite.png
d425b39e5fff7be05fd6c55fd342d7d9f9b444a25758f7c737f1a4928f3348bb,666,2,666,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/hippopotas/sprite-m-shiny.png|assets/textures/textures_webapp/pokemon/hippopotas/sprite-shiny.png
93b54ba18ae1b7ed620fe2f679003fd9ecfee784d7590d17f57730c176c487ba,599,2,599,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/wobbuffet/sprite-m-shiny.png|assets/textures/textures_webapp/pokemon/wobbuffet/sprite-shiny.png
13b49b22f304f0213bcc9680ff6417b74be0220c7cc8d8bb2b8df3ea6c38c0db,598,2,598,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/pikachu/sprite-m-shiny.png|assets/textures/textures_webapp/pokemon/pikachu/sprite-shiny.png
80d30eb1b9f2a05eb4a216d53034e2a0bb16f2619ec43d281f36d601e5819c2c,597,2,597,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/pikachu/sprite-m.png|assets/textures/textures_webapp/pokemon/pikachu/sprite.png
98d0c6efba8b2019f371f1a4a2469a2233868ee5705e89343dfae7ed826e5390,597,2,597,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/wobbuffet/sprite-m.png|assets/textures/textures_webapp/pokemon/wobbuffet/sprite.png
9d2cd1048e50c9e22f6dfe0cda4034b876771be8b261e20198b7f8fcf2a89c3c,403,2,403,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/minior-core-orange/sprite.png|assets/textures/textures_webapp/pokemon/minior-core/sprite-orange.png
e6dede19cafbc99d3c7c1222d6d966fc142c2a601c92f9470d003b2bdceae864,403,2,403,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/minior-core-yellow/sprite.png|assets/textures/textures_webapp/pokemon/minior-core/sprite-yellow.png
1d474750208dc42ca2c0cb5aba8c6735745d1a55ab510b9646b42bd05c9ca4bd,402,2,402,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/minior-core-violet/sprite.png|assets/textures/textures_webapp/pokemon/minior-core/sprite-violet.png
e1585617ce661049e78c73ddc1d4b776bda6f339febc1c55e9fa4223e4a6c80d,402,2,402,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/minior-core-green/sprite.png|assets/textures/textures_webapp/pokemon/minior-core/sprite-green.png
e53a634e329c6fa4ad3685a69d6192509fc1eacb614a0d9cbb7f05f22f8a28c5,402,2,402,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/minior-core-blue/sprite.png|assets/textures/textures_webapp/pokemon/minior-core/sprite-blue.png
ed3f9836eea15e46a9cc31fdf719ec9486f7f63ee7f90866a5be27e7f806a7cf,402,2,402,assets/textures/textures_webapp/pokemon,assets/textures/textures_webapp/pokemon/minior-core-indigo/sprite.png|assets/textures/textures_webapp/pokemon/minior-core/sprite-indigo.png
8b16449b40892836559f4ce3b84d381653e534f01d071bc6c8565714dc4cf77c,344,2,344,assets/textures/sprites,assets/textures/sprites/741Oricorio P'au Style.png|assets/textures/sprites/741Oricorio Pa'u Style.png
